country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Albania1987,,"2,156,624,900",796,Generation X
Albania1987,,"2,156,624,900",796,Silent
Albania1987,,"2,156,624,900",796,Generation X
Albania1987,,"2,156,624,900",796,G.I. Generation
Albania1987,,"2,156,624,900",796,Boomers
Albania1987,,"2,156,624,900",796,G.I. Generation
Albania1987,,"2,156,624,900",796,Silent
Albania1987,,"2,156,624,900",796,Boomers
Albania1987,,"2,156,624,900",796,G.I. Generation
Albania1987,,"2,156,624,900",796,Generation X
Albania1987,,"2,156,624,900",796,G.I. Generation
Albania1987,,"2,156,624,900",796,Generation X
Albania1988,,"2,126,000,000",769,G.I. Generation
Albania1988,,"2,126,000,000",769,Generation X
Albania1988,,"2,126,000,000",769,G.I. Generation
Albania1988,,"2,126,000,000",769,Silent
Albania1988,,"2,126,000,000",769,G.I. Generation
Albania1988,,"2,126,000,000",769,Generation X
Albania1988,,"2,126,000,000",769,G.I. Generation
Albania1988,,"2,126,000,000",769,Boomers
Albania1988,,"2,126,000,000",769,Boomers
Albania1988,,"2,126,000,000",769,Silent
Albania1988,,"2,126,000,000",769,Generation X
Albania1988,,"2,126,000,000",769,Generation X
Albania1989,,"2,335,124,988",833,G.I. Generation
Albania1989,,"2,335,124,988",833,Boomers
Albania1989,,"2,335,124,988",833,Silent
Albania1989,,"2,335,124,988",833,G.I. Generation
Albania1989,,"2,335,124,988",833,Generation X
Albania1989,,"2,335,124,988",833,Silent
Albania1989,,"2,335,124,988",833,Generation X
Albania1989,,"2,335,124,988",833,Boomers
Albania1989,,"2,335,124,988",833,G.I. Generation
Albania1989,,"2,335,124,988",833,Generation X
Albania1989,,"2,335,124,988",833,G.I. Generation
Albania1989,,"2,335,124,988",833,Generation X
Albania1992,,"709,452,584",251,Boomers
Albania1992,,"709,452,584",251,Generation X
Albania1992,,"709,452,584",251,Silent
Albania1992,,"709,452,584",251,Boomers
Albania1992,,"709,452,584",251,Generation X
Albania1992,,"709,452,584",251,Boomers
Albania1992,,"709,452,584",251,Boomers
Albania1992,,"709,452,584",251,Silent
Albania1992,,"709,452,584",251,Millenials
Albania1992,,"709,452,584",251,G.I. Generation
Albania1992,,"709,452,584",251,Millenials
Albania1992,,"709,452,584",251,G.I. Generation
Albania1993,,"1,228,071,038",437,Generation X
Albania1993,,"1,228,071,038",437,Silent
Albania1993,,"1,228,071,038",437,G.I. Generation
Albania1993,,"1,228,071,038",437,Boomers
Albania1993,,"1,228,071,038",437,Generation X
Albania1993,,"1,228,071,038",437,Boomers
Albania1993,,"1,228,071,038",437,Boomers
Albania1993,,"1,228,071,038",437,Boomers
Albania1993,,"1,228,071,038",437,Silent
Albania1993,,"1,228,071,038",437,Millenials
Albania1993,,"1,228,071,038",437,Millenials
Albania1993,,"1,228,071,038",437,G.I. Generation
Albania1994,,"1,985,673,798",697,G.I. Generation
Albania1994,,"1,985,673,798",697,Silent
Albania1994,,"1,985,673,798",697,G.I. Generation
Albania1994,,"1,985,673,798",697,Boomers
Albania1994,,"1,985,673,798",697,Boomers
Albania1994,,"1,985,673,798",697,Generation X
Albania1994,,"1,985,673,798",697,Generation X
Albania1994,,"1,985,673,798",697,Boomers
Albania1994,,"1,985,673,798",697,Boomers
Albania1994,,"1,985,673,798",697,Silent
Albania1994,,"1,985,673,798",697,Millenials
Albania1994,,"1,985,673,798",697,Millenials
Albania1995,0.619,"2,424,499,009",835,Generation X
Albania1995,0.619,"2,424,499,009",835,Silent
Albania1995,0.619,"2,424,499,009",835,G.I. Generation
Albania1995,0.619,"2,424,499,009",835,Generation X
Albania1995,0.619,"2,424,499,009",835,Generation X
Albania1995,0.619,"2,424,499,009",835,G.I. Generation
Albania1995,0.619,"2,424,499,009",835,Boomers
Albania1995,0.619,"2,424,499,009",835,Generation X
Albania1995,0.619,"2,424,499,009",835,Boomers
Albania1995,0.619,"2,424,499,009",835,Millenials
Albania1995,0.619,"2,424,499,009",835,Silent
Albania1995,0.619,"2,424,499,009",835,Millenials
Albania1996,,"3,314,898,292",1127,G.I. Generation
Albania1996,,"3,314,898,292",1127,Generation X
Albania1996,,"3,314,898,292",1127,Generation X
Albania1996,,"3,314,898,292",1127,Generation X
Albania1996,,"3,314,898,292",1127,G.I. Generation
Albania1996,,"3,314,898,292",1127,Generation X
Albania1996,,"3,314,898,292",1127,Boomers
Albania1996,,"3,314,898,292",1127,Boomers
Albania1996,,"3,314,898,292",1127,Silent
Albania1996,,"3,314,898,292",1127,Silent
Albania1996,,"3,314,898,292",1127,Millenials
Albania1996,,"3,314,898,292",1127,Millenials
Albania1997,,"2,359,903,108",793,Generation X
Albania1997,,"2,359,903,108",793,Generation X
Albania1997,,"2,359,903,108",793,G.I. Generation
Albania1997,,"2,359,903,108",793,Boomers
Albania1997,,"2,359,903,108",793,Generation X
Albania1997,,"2,359,903,108",793,Silent
Albania1997,,"2,359,903,108",793,Generation X
Albania1997,,"2,359,903,108",793,G.I. Generation
Albania1997,,"2,359,903,108",793,Boomers
Albania1997,,"2,359,903,108",793,Millenials
Albania1997,,"2,359,903,108",793,Millenials
Albania1997,,"2,359,903,108",793,Silent
Albania1998,,"2,707,123,772",899,G.I. Generation
Albania1998,,"2,707,123,772",899,Generation X
Albania1998,,"2,707,123,772",899,Generation X
Albania1998,,"2,707,123,772",899,Generation X
Albania1998,,"2,707,123,772",899,Boomers
Albania1998,,"2,707,123,772",899,Silent
Albania1998,,"2,707,123,772",899,Generation X
Albania1998,,"2,707,123,772",899,Silent
Albania1998,,"2,707,123,772",899,Boomers
Albania1998,,"2,707,123,772",899,Millenials
Albania1998,,"2,707,123,772",899,Millenials
Albania1998,,"2,707,123,772",899,G.I. Generation
Albania1999,,"3,414,760,915",1127,G.I. Generation
Albania1999,,"3,414,760,915",1127,Generation X
Albania1999,,"3,414,760,915",1127,G.I. Generation
Albania1999,,"3,414,760,915",1127,Boomers
Albania1999,,"3,414,760,915",1127,Generation X
Albania1999,,"3,414,760,915",1127,Silent
Albania1999,,"3,414,760,915",1127,Generation X
Albania1999,,"3,414,760,915",1127,Generation X
Albania1999,,"3,414,760,915",1127,Silent
Albania1999,,"3,414,760,915",1127,Boomers
Albania1999,,"3,414,760,915",1127,Millenials
Albania1999,,"3,414,760,915",1127,Millenials
Albania2000,0.656,"3,632,043,908",1299,Generation X
Albania2000,0.656,"3,632,043,908",1299,Silent
Albania2000,0.656,"3,632,043,908",1299,G.I. Generation
Albania2000,0.656,"3,632,043,908",1299,G.I. Generation
Albania2000,0.656,"3,632,043,908",1299,Generation X
Albania2000,0.656,"3,632,043,908",1299,Generation X
Albania2000,0.656,"3,632,043,908",1299,Boomers
Albania2000,0.656,"3,632,043,908",1299,Generation X
Albania2000,0.656,"3,632,043,908",1299,Boomers
Albania2000,0.656,"3,632,043,908",1299,Millenials
Albania2000,0.656,"3,632,043,908",1299,Millenials
Albania2000,0.656,"3,632,043,908",1299,Silent
Albania2001,,"4,060,758,804",1451,Generation X
Albania2001,,"4,060,758,804",1451,Boomers
Albania2001,,"4,060,758,804",1451,Silent
Albania2001,,"4,060,758,804",1451,Silent
Albania2001,,"4,060,758,804",1451,Millenials
Albania2001,,"4,060,758,804",1451,Millenials
Albania2001,,"4,060,758,804",1451,Boomers
Albania2001,,"4,060,758,804",1451,Silent
Albania2001,,"4,060,758,804",1451,Silent
Albania2001,,"4,060,758,804",1451,Millenials
Albania2001,,"4,060,758,804",1451,Generation X
Albania2001,,"4,060,758,804",1451,Millenials
Albania2002,,"4,435,078,648",1573,Silent
Albania2002,,"4,435,078,648",1573,Generation X
Albania2002,,"4,435,078,648",1573,Boomers
Albania2002,,"4,435,078,648",1573,Silent
Albania2002,,"4,435,078,648",1573,Millenials
Albania2002,,"4,435,078,648",1573,Millenials
Albania2002,,"4,435,078,648",1573,Boomers
Albania2002,,"4,435,078,648",1573,Generation X
Albania2002,,"4,435,078,648",1573,Silent
Albania2002,,"4,435,078,648",1573,Silent
Albania2002,,"4,435,078,648",1573,Millenials
Albania2002,,"4,435,078,648",1573,Millenials
Albania2003,,"5,746,945,913",2021,Silent
Albania2003,,"5,746,945,913",2021,Silent
Albania2003,,"5,746,945,913",2021,Boomers
Albania2003,,"5,746,945,913",2021,Millenials
Albania2003,,"5,746,945,913",2021,Millenials
Albania2003,,"5,746,945,913",2021,Silent
Albania2003,,"5,746,945,913",2021,Generation X
Albania2003,,"5,746,945,913",2021,Generation X
Albania2003,,"5,746,945,913",2021,Boomers
Albania2003,,"5,746,945,913",2021,Silent
Albania2003,,"5,746,945,913",2021,Millenials
Albania2003,,"5,746,945,913",2021,Millenials
Albania2004,,"7,314,865,176",2544,Silent
Albania2004,,"7,314,865,176",2544,Boomers
Albania2004,,"7,314,865,176",2544,Generation X
Albania2004,,"7,314,865,176",2544,Millenials
Albania2004,,"7,314,865,176",2544,Millenials
Albania2004,,"7,314,865,176",2544,Silent
Albania2004,,"7,314,865,176",2544,Generation X
Albania2004,,"7,314,865,176",2544,Silent
Albania2004,,"7,314,865,176",2544,Boomers
Albania2004,,"7,314,865,176",2544,Silent
